"NET Ranking","conferenceId","teamId","Wins","confWins","teamMarket","GP*","ATR2 FGA","ATR2 FGA/G","ATR2 FGA/G %ile","ATR2 FGA%","ATR2 FGA% %ile","ATR2 FG%","ATR2 FG% %ile","PAINT2 FGA","PAINT2 FGA/G","PAINT2 FGA/G %ile","PAINT2 FGA%","PAINT2 FGA% %ile","PAINT2 FG%","PAINT2 FG% %ile","MID2 FGA","MID2 FGA/G","MID2 FGA/G %ile","MID2 FGA%","MID2 FGA% %ile","MID2 FG%","MID2 FG% %ile","ATB3 FGA","ATB3 FGA/G","ATB3 FGA/G %ile","ATB3 FGA%","ATB3 FGA% %ile","ATB3 FG%","ATB3 FG% %ile","C3 FGA","C3 FGA/G","C3 FGA/G %ile","C3 FGA%","C3 FGA% %ile","C3 FG%","C3 FG% %ile","Rim + 3s FGA","Rim + 3s FGA/G","Rim + 3s FGA/G %ile","Rim + 3s FGA%","Rim + 3s FGA% %ile","Rim + 3s eFG%","Rim + 3s eFG% %ile"
"","17","103891","20","11","Memphis","28","562","20.07143","0.87","0.3384","0.85","0.6085","0.35","314","11.21429","0.55","0.189","0.5","0.3567","0.17","185","6.60714","0.31","0.1114","0.28","0.3514","0.5","406","14.5","0.26","0.2444","0.19","0.3621","0.84","193","6.89286","0.91","0.1162","0.89","0.3679","0.6","1162","41.5","0.78","0.6996","0.69","0.5757","0.71"
"","72","103882","10","4","McNeese","18","352","19.55556","0.84","0.3516","0.89","0.571","0.08","187","10.38889","0.41","0.1868","0.48","0.492","0.97","96","5.33333","0.15","0.0959","0.16","0.3646","0.64","246","13.66667","0.15","0.2458","0.21","0.3333","0.55","119","6.61111","0.89","0.1189","0.9","0.4454","0.96","718","39.88889","0.65","0.7173","0.77","0.5641","0.57"
"","4","103876","8","6","Massachusetts","15","281","18.73333","0.77","0.3054","0.64","0.5872","0.19","139","9.26667","0.24","0.1511","0.16","0.4388","0.79","95","6.33333","0.27","0.1033","0.21","0.3789","0.75","321","21.4","0.96","0.3489","0.91","0.3084","0.22","84","5.6","0.69","0.0913","0.6","0.3929","0.75","686","45.73333","0.94","0.7457","0.89","0.5292","0.17"
"","73","103871","17","9","Maryland","30","442","14.73333","0.23","0.2792","0.41","0.69","0.92","250","8.33333","0.13","0.1579","0.21","0.4","0.47","209","6.96667","0.35","0.132","0.43","0.3589","0.59","554","18.46667","0.75","0.35","0.92","0.3538","0.76","128","4.26667","0.26","0.0809","0.41","0.3516","0.46","1124","37.46667","0.41","0.71","0.74","0.593","0.87"
"","88","103865","5","3","Marshall","8","122","15.25","0.3","0.2392","0.13","0.6148","0.4","97","12.125","0.67","0.1902","0.52","0.4948","0.98","94","11.75","0.89","0.1843","0.81","0.4468","0.98","156","19.5","0.86","0.3059","0.68","0.3269","0.47","40","5","0.49","0.0784","0.36","0.4","0.8","319","39.875","0.65","0.6255","0.27","0.5502","0.39"
"","29","103863","13","8","Marquette","27","444","16.44444","0.46","0.2992","0.59","0.6509","0.72","264","9.77778","0.34","0.1779","0.39","0.4015","0.48","221","8.18519","0.51","0.1489","0.54","0.3937","0.85","423","15.66667","0.42","0.285","0.51","0.2955","0.12","132","4.88889","0.46","0.0889","0.54","0.4091","0.87","999","37","0.37","0.6732","0.55","0.5581","0.51"
"","19","103862","12","10","Marist","21","355","16.90476","0.54","0.319","0.74","0.6056","0.32","161","7.66667","0.07","0.1447","0.12","0.4286","0.71","139","6.61905","0.31","0.1249","0.37","0.3525","0.51","318","15.14286","0.33","0.2857","0.51","0.3019","0.15","139","6.61905","0.89","0.1249","0.93","0.3237","0.27","813","38.71429","0.55","0.7305","0.85","0.5264","0.15"
"","19","103855","7","6","Manhattan","20","388","19.4","0.82","0.333","0.82","0.5361","0.01","218","10.9","0.51","0.1871","0.49","0.367","0.23","124","6.2","0.25","0.1064","0.23","0.2903","0.09","274","13.7","0.16","0.2352","0.12","0.281","0.05","161","8.05","0.98","0.1382","0.98","0.236","0.01","823","41.15","0.76","0.7064","0.72","0.4623","0"
"","18","103850","2","2","Maine","9","102","11.33333","0.02","0.2257","0.07","0.5784","0.11","91","10.11111","0.37","0.2013","0.61","0.3516","0.14","56","6.22222","0.25","0.1239","0.37","0.3036","0.14","161","17.88889","0.69","0.3562","0.93","0.323","0.41","42","4.66667","0.39","0.0929","0.63","0.2857","0.1","305","33.88889","0.15","0.6748","0.57","0.5082","0.05"
"","30","103835","13","7","LMU (CA)","22","349","15.86364","0.37","0.3043","0.63","0.659","0.77","299","13.59091","0.86","0.2607","0.95","0.4147","0.59","99","4.5","0.06","0.0863","0.1","0.3636","0.63","315","14.31818","0.22","0.2746","0.43","0.3333","0.55","83","3.77273","0.14","0.0724","0.23","0.3614","0.55","749","34.04545","0.17","0.653","0.41","0.5774","0.73"
