"NET Ranking","conferenceId","teamId","Wins","confWins","teamMarket","GP*","ATR2 FGA","ATR2 FGA/G","ATR2 FGA/G %ile","ATR2 FGA%","ATR2 FGA% %ile","ATR2 FG%","ATR2 FG% %ile","PAINT2 FGA","PAINT2 FGA/G","PAINT2 FGA/G %ile","PAINT2 FGA%","PAINT2 FGA% %ile","PAINT2 FG%","PAINT2 FG% %ile","MID2 FGA","MID2 FGA/G","MID2 FGA/G %ile","MID2 FGA%","MID2 FGA% %ile","MID2 FG%","MID2 FG% %ile","ATB3 FGA","ATB3 FGA/G","ATB3 FGA/G %ile","ATB3 FGA%","ATB3 FGA% %ile","ATB3 FG%","ATB3 FG% %ile","C3 FGA","C3 FGA/G","C3 FGA/G %ile","C3 FGA%","C3 FGA% %ile","C3 FG%","C3 FG% %ile","Rim + 3s FGA","Rim + 3s FGA/G","Rim + 3s FGA/G %ile","Rim + 3s FGA%","Rim + 3s FGA% %ile","Rim + 3s eFG%","Rim + 3s eFG% %ile"
"127","59","104515","24","16","Youngstown St.","32","678","21.1875","0.93","0.3486","0.86","0.6622","0.85","369","11.53125","0.63","0.1897","0.52","0.458","0.9","218","6.8125","0.39","0.1121","0.32","0.3486","0.53","517","16.15625","0.46","0.2658","0.32","0.3424","0.65","161","5.03125","0.5","0.0828","0.41","0.4286","0.97","1358","42.4375","0.86","0.6982","0.66","0.6024","0.95"
"65","86","104510","21","10","Yale","28","564","20.14286","0.85","0.3469","0.86","0.6294","0.56","320","11.42857","0.61","0.1968","0.59","0.4313","0.75","177","6.32143","0.32","0.1089","0.29","0.3559","0.59","411","14.67857","0.27","0.2528","0.22","0.3601","0.84","154","5.5","0.68","0.0947","0.64","0.3506","0.4","1129","40.32143","0.69","0.6943","0.63","0.5828","0.8"
"18","29","104509","27","15","Xavier","37","709","19.16216","0.79","0.3143","0.62","0.6488","0.76","526","14.21622","0.94","0.2332","0.88","0.4791","0.96","318","8.59459","0.65","0.141","0.58","0.3868","0.79","568","15.35135","0.35","0.2518","0.21","0.3926","0.99","131","3.54054","0.09","0.0581","0.05","0.3817","0.73","1412","38.16216","0.42","0.6259","0.21","0.6169","0.98"
"180","87","104508","9","4","Wyoming","29","354","12.2069","0.02","0.2291","0.03","0.5932","0.2","391","13.48276","0.91","0.2531","0.94","0.5038","0.99","92","3.17241","0.02","0.0595","0.03","0.2283","0","625","21.55172","0.98","0.4045","1","0.3488","0.72","83","2.86207","0.02","0.0537","0.03","0.2892","0.04","1062","36.62069","0.28","0.6874","0.56","0.5395","0.22"
"197","59","104506","18","11","Wright St.","31","641","20.67742","0.89","0.3299","0.76","0.6303","0.58","334","10.77419","0.47","0.1719","0.3","0.4701","0.94","421","13.58065","0.99","0.2167","0.97","0.4537","0.99","452","14.58065","0.25","0.2326","0.11","0.3496","0.73","95","3.06452","0.03","0.0489","0.02","0.3579","0.48","1188","38.32258","0.43","0.6114","0.15","0.5825","0.79"
"228","38","104503","17","8","Wofford","30","570","19","0.76","0.3327","0.78","0.6491","0.76","292","9.73333","0.29","0.1705","0.28","0.4589","0.9","181","6.03333","0.28","0.1057","0.26","0.3867","0.79","502","16.73333","0.58","0.2931","0.59","0.3127","0.23","164","5.46667","0.66","0.0957","0.66","0.3537","0.45","1240","41.33333","0.78","0.7239","0.83","0.5585","0.49"
"72","73","104500","20","9","Wisconsin","35","553","15.8","0.29","0.2758","0.28","0.6203","0.47","420","12","0.69","0.2095","0.72","0.381","0.29","225","6.42857","0.34","0.1122","0.32","0.2311","0","654","18.68571","0.84","0.3262","0.85","0.3364","0.54","150","4.28571","0.28","0.0748","0.27","0.3667","0.57","1360","38.85714","0.51","0.6783","0.51","0.5566","0.45"
"250","37","104488","7","6","Winthrop","20","346","17.3","0.53","0.3343","0.79","0.6474","0.74","175","8.75","0.12","0.1691","0.26","0.4057","0.51","57","2.85","0.01","0.0551","0.02","0.2982","0.08","325","16.25","0.48","0.314","0.77","0.3785","0.95","131","6.55","0.9","0.1266","0.97","0.3893","0.78","803","40.15","0.66","0.7758","0.97","0.604","0.96"
"316","16","104476","13","7","William & Mary","30","486","16.2","0.34","0.2954","0.43","0.5658","0.05","343","11.43333","0.61","0.2085","0.69","0.3936","0.4","192","6.4","0.34","0.1167","0.37","0.3281","0.3","475","15.83333","0.42","0.2888","0.54","0.3642","0.87","149","4.96667","0.47","0.0906","0.55","0.3691","0.6","1110","37","0.31","0.6748","0.49","0.5559","0.43"
"110","17","104471","17","9","Wichita St.","32","706","22.0625","0.96","0.3839","0.98","0.6161","0.42","237","7.40625","0.04","0.1289","0.03","0.3966","0.42","211","6.59375","0.36","0.1147","0.35","0.4076","0.91","544","17","0.62","0.2958","0.62","0.3088","0.2","141","4.40625","0.3","0.0767","0.31","0.3121","0.14","1391","43.46875","0.92","0.7564","0.93","0.5413","0.24"
