"NET Ranking","conferenceId","teamId","Wins","confWins","teamMarket","GP*","ATR2 FGA","ATR2 FGA/G","ATR2 FGA/G %ile","ATR2 FGA%","ATR2 FGA% %ile","ATR2 FG%","ATR2 FG% %ile","PAINT2 FGA","PAINT2 FGA/G","PAINT2 FGA/G %ile","PAINT2 FGA%","PAINT2 FGA% %ile","PAINT2 FG%","PAINT2 FG% %ile","MID2 FGA","MID2 FGA/G","MID2 FGA/G %ile","MID2 FGA%","MID2 FGA% %ile","MID2 FG%","MID2 FG% %ile","ATB3 FGA","ATB3 FGA/G","ATB3 FGA/G %ile","ATB3 FGA%","ATB3 FGA% %ile","ATB3 FG%","ATB3 FG% %ile","C3 FGA","C3 FGA/G","C3 FGA/G %ile","C3 FGA%","C3 FGA% %ile","C3 FG%","C3 FG% %ile","Rim + 3s FGA","Rim + 3s FGA/G","Rim + 3s FGA/G %ile","Rim + 3s FGA%","Rim + 3s FGA% %ile","Rim + 3s eFG%","Rim + 3s eFG% %ile"
"190","59","104515","21","14","Youngstown St.","32","588","18.375","0.57","0.3149","0.54","0.602","0.28","303","9.46875","0.28","0.1623","0.25","0.4224","0.62","114","3.5625","0.11","0.0611","0.11","0.3684","0.61","662","20.6875","0.88","0.3546","0.9","0.3112","0.22","199","6.21875","0.77","0.1066","0.75","0.3216","0.23","1450","45.3125","0.88","0.7766","0.9","0.5234","0.13"
"72","86","104510","22","13","Yale","29","665","22.93103","0.95","0.3774","0.94","0.6045","0.33","311","10.72414","0.49","0.1765","0.41","0.4598","0.87","220","7.58621","0.65","0.1249","0.61","0.4182","0.94","458","15.7931","0.32","0.2599","0.21","0.3712","0.93","108","3.72414","0.08","0.0613","0.07","0.4444","0.99","1231","42.44828","0.67","0.6986","0.5","0.5922","0.86"
"45","29","104509","22","13","Xavier","34","619","18.20588","0.55","0.3194","0.6","0.6527","0.78","421","12.38235","0.8","0.2172","0.82","0.3515","0.08","170","5","0.3","0.0877","0.31","0.4","0.85","621","18.26471","0.68","0.3204","0.71","0.3833","0.98","106","3.11765","0.04","0.0547","0.04","0.434","0.98","1347","39.61765","0.41","0.695","0.46","0.6173","0.98"
"197","87","104508","12","5","Wyoming","31","442","14.25806","0.09","0.2609","0.12","0.6154","0.44","364","11.74194","0.69","0.2149","0.8","0.4148","0.57","199","6.41935","0.52","0.1175","0.55","0.3719","0.64","522","16.83871","0.47","0.3081","0.62","0.364","0.89","167","5.3871","0.51","0.0986","0.64","0.2814","0.03","1131","36.48387","0.15","0.6677","0.3","0.5548","0.47"
"220","59","104506","15","9","Wright St.","31","626","20.19355","0.81","0.3474","0.83","0.6374","0.64","268","8.64516","0.14","0.1487","0.12","0.4776","0.95","227","7.32258","0.61","0.126","0.62","0.4097","0.9","560","18.06452","0.65","0.3108","0.64","0.3732","0.94","120","3.87097","0.1","0.0666","0.1","0.45","0.99","1307","42.16129","0.65","0.7253","0.67","0.6071","0.95"
"131","38","104503","19","10","Wofford","33","557","16.87879","0.34","0.2932","0.36","0.632","0.57","332","10.06061","0.37","0.1747","0.38","0.4729","0.93","105","3.18182","0.08","0.0553","0.09","0.2857","0.07","670","20.30303","0.85","0.3526","0.88","0.3463","0.69","235","7.12121","0.93","0.1237","0.93","0.3532","0.51","1463","44.33333","0.82","0.77","0.87","0.5636","0.59"
"15","73","104500","27","13","Wisconsin","37","633","17.10811","0.38","0.2898","0.33","0.6635","0.85","357","9.64865","0.3","0.1635","0.27","0.4342","0.71","142","3.83784","0.13","0.065","0.13","0.3521","0.46","838","22.64865","0.97","0.3837","0.96","0.3425","0.64","213","5.75676","0.65","0.0975","0.6","0.3709","0.67","1685","45.54054","0.89","0.7715","0.87","0.5751","0.72"
"163","37","104488","23","11","Winthrop","31","770","24.83871","0.98","0.4169","0.99","0.6078","0.35","325","10.48387","0.43","0.176","0.4","0.4492","0.8","45","1.45161","0.01","0.0244","0.01","0.2667","0.04","460","14.83871","0.19","0.2491","0.13","0.3065","0.16","247","7.96774","0.99","0.1337","0.98","0.3968","0.84","1477","47.64516","0.96","0.7997","0.95","0.5596","0.54"
"218","16","104476","17","11","William & Mary","30","568","18.93333","0.65","0.3302","0.7","0.6303","0.55","199","6.63333","0.01","0.1157","0.01","0.397","0.4","67","2.23333","0.03","0.039","0.03","0.4179","0.94","751","25.03333","0.99","0.4366","1","0.3462","0.69","134","4.46667","0.2","0.0779","0.21","0.3433","0.43","1454","48.46667","0.97","0.8453","0.99","0.5619","0.57"
"134","17","104471","19","8","Wichita St.","33","849","25.72727","0.99","0.4286","0.99","0.5771","0.13","396","12","0.73","0.1999","0.68","0.3914","0.33","173","5.24242","0.34","0.0873","0.31","0.3642","0.55","403","12.21212","0.03","0.2034","0.02","0.2928","0.07","159","4.81818","0.3","0.0803","0.26","0.327","0.27","1412","42.78788","0.69","0.7128","0.59","0.5276","0.17"
