"NET Ranking","conferenceId","teamId","Wins","confWins","teamMarket","GP*","ATR2 FGA","ATR2 FGA/G","ATR2 FGA/G %ile","ATR2 FGA%","ATR2 FGA% %ile","ATR2 FG%","ATR2 FG% %ile","PAINT2 FGA","PAINT2 FGA/G","PAINT2 FGA/G %ile","PAINT2 FGA%","PAINT2 FGA% %ile","PAINT2 FG%","PAINT2 FG% %ile","MID2 FGA","MID2 FGA/G","MID2 FGA/G %ile","MID2 FGA%","MID2 FGA% %ile","MID2 FG%","MID2 FG% %ile","ATB3 FGA","ATB3 FGA/G","ATB3 FGA/G %ile","ATB3 FGA%","ATB3 FGA% %ile","ATB3 FG%","ATB3 FG% %ile","C3 FGA","C3 FGA/G","C3 FGA/G %ile","C3 FGA%","C3 FGA% %ile","C3 FG%","C3 FG% %ile","Rim + 3s FGA","Rim + 3s FGA/G","Rim + 3s FGA/G %ile","Rim + 3s FGA%","Rim + 3s FGA% %ile","Rim + 3s eFG%","Rim + 3s eFG% %ile"
"3","60","103296","36","16","Arizona","39","959","24.58974","0.98","0.4043","0.98","0.6475","0.73","462","11.84615","0.73","0.1948","0.66","0.4437","0.72","326","8.35897","0.82","0.1374","0.78","0.3926","0.74","462","11.84615","0.02","0.1948","0.01","0.3615","0.86","163","4.17949","0.14","0.0687","0.09","0.3804","0.72","1584","40.61538","0.44","0.6678","0.26","0.6089","0.94"
"191","62","103293","19","11","App State","30","524","17.46667","0.37","0.3151","0.48","0.6412","0.7","262","8.73333","0.19","0.1575","0.26","0.416","0.49","114","3.8","0.18","0.0686","0.21","0.3246","0.19","604","20.13333","0.83","0.3632","0.89","0.2848","0.03","158","5.26667","0.43","0.095","0.52","0.3734","0.66","1287","42.9","0.67","0.7739","0.84","0.5315","0.21"
"256","55","103285","16","9","American","30","451","15.03333","0.11","0.2607","0.1","0.6297","0.6","372","12.4","0.8","0.215","0.81","0.4704","0.88","103","3.43333","0.12","0.0595","0.13","0.3398","0.3","621","20.7","0.87","0.359","0.88","0.306","0.16","183","6.1","0.67","0.1058","0.71","0.4098","0.93","1255","41.83333","0.57","0.7254","0.58","0.543","0.28"
"349","39","103278","9","7","Alcorn","32","566","17.6875","0.4","0.3115","0.46","0.6078","0.36","384","12","0.75","0.2113","0.79","0.3724","0.13","256","8","0.78","0.1409","0.8","0.2852","0.05","444","13.875","0.11","0.2444","0.14","0.3311","0.52","166","5.1875","0.4","0.0914","0.43","0.3373","0.31","1177","36.78125","0.13","0.6478","0.16","0.5523","0.41"
"326","18","103273","11","7","UAlbany","29","584","20.13793","0.74","0.3493","0.79","0.6045","0.31","317","10.93103","0.57","0.1896","0.6","0.4479","0.77","142","4.89655","0.3","0.0849","0.3","0.3944","0.75","451","15.55172","0.3","0.2697","0.3","0.3149","0.25","178","6.13793","0.68","0.1065","0.72","0.3539","0.47","1213","41.82759","0.57","0.7255","0.58","0.5445","0.31"
"323","39","103270","10","7","Alabama St.","31","598","19.29032","0.64","0.3205","0.54","0.5936","0.23","319","10.29032","0.47","0.171","0.42","0.3323","0.02","231","7.45161","0.72","0.1238","0.7","0.329","0.23","576","18.58065","0.67","0.3087","0.59","0.3003","0.13","142","4.58065","0.23","0.0761","0.18","0.3873","0.79","1316","42.45161","0.63","0.7053","0.47","0.5296","0.19"
"310","39","103269","18","10","Alabama A&M","30","464","15.46667","0.15","0.2861","0.24","0.6272","0.58","336","11.2","0.62","0.2072","0.76","0.381","0.17","271","9.03333","0.86","0.1671","0.91","0.3321","0.25","441","14.7","0.19","0.2719","0.32","0.3537","0.78","110","3.66667","0.04","0.0678","0.08","0.3364","0.3","1015","33.83333","0.03","0.6258","0.09","0.5719","0.68"
"14","89","103268","25","13","Alabama","35","701","20.02857","0.73","0.3032","0.4","0.6362","0.65","284","8.11429","0.11","0.1228","0.03","0.4437","0.72","71","2.02857","0.03","0.0307","0.02","0.4225","0.91","902","25.77143","0.99","0.3901","0.96","0.3537","0.78","354","10.11429","1","0.1531","1","0.3701","0.63","1957","55.91429","1","0.8465","0.99","0.5728","0.69"
"58","2","103266","29","17","Akron","33","666","20.18182","0.75","0.3231","0.57","0.6967","0.95","295","8.93939","0.23","0.1431","0.13","0.4407","0.7","177","5.36364","0.39","0.0859","0.32","0.4237","0.92","700","21.21212","0.9","0.3396","0.8","0.3829","0.98","222","6.72727","0.82","0.1077","0.74","0.3829","0.75","1589","48.15152","0.93","0.771","0.82","0.6252","0.98"
"350","87","103265","3","0","Air Force","32","594","18.5625","0.52","0.3629","0.87","0.6094","0.38","259","8.09375","0.1","0.1582","0.27","0.3668","0.1","100","3.125","0.09","0.0611","0.14","0.3","0.08","531","16.59375","0.43","0.3244","0.71","0.2919","0.06","152","4.75","0.27","0.0929","0.47","0.3553","0.5","1278","39.9375","0.4","0.7807","0.86","0.5286","0.18"
"248","36","103260","14","5","Abilene Christian","30","586","19.53333","0.68","0.3575","0.85","0.57","0.09","281","9.36667","0.3","0.1714","0.42","0.3879","0.22","234","7.8","0.75","0.1428","0.81","0.3632","0.49","420","14","0.13","0.2563","0.23","0.3024","0.15","118","3.93333","0.09","0.072","0.12","0.339","0.32","1124","37.46667","0.17","0.6858","0.36","0.52","0.11"
"190","72","103258","18","13","A&M-Corpus Christi","29","542","18.68966","0.55","0.3454","0.74","0.5793","0.13","368","12.68966","0.83","0.2345","0.9","0.4103","0.44","167","5.75862","0.48","0.1064","0.53","0.3174","0.15","377","13","0.06","0.2403","0.13","0.3395","0.62","114","3.93103","0.09","0.0727","0.13","0.386","0.77","1034","35.65517","0.08","0.659","0.21","0.5532","0.42"
"8","73","103257","30","13","Purdue","39","571","14.64103","0.08","0.245","0.05","0.7356","1","466","11.94872","0.75","0.1999","0.7","0.4807","0.94","357","9.15385","0.87","0.1532","0.86","0.451","0.99","696","17.84615","0.58","0.2986","0.51","0.3764","0.95","241","6.17949","0.7","0.1034","0.66","0.4025","0.88","1508","38.66667","0.27","0.6469","0.15","0.6356","0.99"
