"NET Ranking","conferenceId","teamId","Wins","confWins","teamMarket","GP*","ATR2 FGA","ATR2 FGA/G","ATR2 FGA/G %ile","ATR2 FGA%","ATR2 FGA% %ile","ATR2 FG%","ATR2 FG% %ile","PAINT2 FGA","PAINT2 FGA/G","PAINT2 FGA/G %ile","PAINT2 FGA%","PAINT2 FGA% %ile","PAINT2 FG%","PAINT2 FG% %ile","MID2 FGA","MID2 FGA/G","MID2 FGA/G %ile","MID2 FGA%","MID2 FGA% %ile","MID2 FG%","MID2 FG% %ile","ATB3 FGA","ATB3 FGA/G","ATB3 FGA/G %ile","ATB3 FGA%","ATB3 FGA% %ile","ATB3 FG%","ATB3 FG% %ile","C3 FGA","C3 FGA/G","C3 FGA/G %ile","C3 FGA%","C3 FGA% %ile","C3 FG%","C3 FG% %ile","Rim + 3s FGA","Rim + 3s FGA/G","Rim + 3s FGA/G %ile","Rim + 3s FGA%","Rim + 3s FGA% %ile","Rim + 3s eFG%","Rim + 3s eFG% %ile"
"131","59","104515","22","14","Youngstown St.","28","542","19.35714","0.71","0.3045","0.48","0.631","0.62","293","10.46429","0.35","0.1646","0.21","0.4266","0.68","193","6.89286","0.46","0.1084","0.34","0.3627","0.55","579","20.67857","0.94","0.3253","0.84","0.3109","0.2","172","6.14286","0.82","0.0966","0.66","0.3488","0.41","1294","46.21429","0.94","0.727","0.78","0.5425","0.32"
"83","86","104510","23","11","Yale","31","693","22.35484","0.94","0.3783","0.94","0.6075","0.39","300","9.67742","0.25","0.1638","0.2","0.41","0.52","190","6.12903","0.31","0.1037","0.31","0.3684","0.59","528","17.03226","0.58","0.2882","0.55","0.339","0.61","120","3.87097","0.13","0.0655","0.13","0.3917","0.78","1342","43.29032","0.8","0.7325","0.8","0.5674","0.63"
"64","29","104509","16","9","Xavier","34","657","19.32353","0.7","0.3105","0.55","0.6058","0.38","437","12.85294","0.78","0.2065","0.66","0.3707","0.14","344","10.11765","0.84","0.1626","0.8","0.3808","0.72","546","16.05882","0.43","0.258","0.26","0.3407","0.64","132","3.88235","0.14","0.0624","0.09","0.3485","0.4","1335","39.26471","0.5","0.6309","0.21","0.5588","0.51"
"155","87","104508","15","8","Wyoming","30","453","15.1","0.17","0.2749","0.25","0.5806","0.19","404","13.46667","0.86","0.2451","0.93","0.4554","0.88","181","6.03333","0.3","0.1098","0.35","0.3425","0.36","517","17.23333","0.61","0.3137","0.77","0.3462","0.73","92","3.06667","0.03","0.0558","0.04","0.4348","0.97","1063","35.43333","0.14","0.645","0.29","0.5579","0.5"
"153","59","104506","18","13","Wright St.","30","641","21.36667","0.91","0.3532","0.87","0.6895","0.96","324","10.8","0.41","0.1785","0.33","0.4815","0.97","319","10.63333","0.88","0.1758","0.87","0.4922","1","420","14","0.17","0.2314","0.12","0.381","0.97","111","3.7","0.11","0.0612","0.08","0.3964","0.81","1172","39.06667","0.48","0.6457","0.3","0.6382","1"
"185","38","104503","17","10","Wofford","29","557","19.2069","0.69","0.3257","0.68","0.5978","0.33","273","9.41379","0.2","0.1596","0.17","0.4615","0.92","106","3.65517","0.06","0.062","0.06","0.3774","0.7","579","19.96552","0.91","0.3386","0.91","0.3385","0.61","194","6.68966","0.9","0.1135","0.9","0.4072","0.87","1331","45.89655","0.93","0.7784","0.95","0.5601","0.54"
"21","73","104500","22","11","Wisconsin","36","654","18.16667","0.56","0.3164","0.6","0.6391","0.71","449","12.47222","0.72","0.2172","0.75","0.4165","0.58","230","6.38889","0.37","0.1113","0.37","0.3957","0.83","586","16.27778","0.46","0.2835","0.5","0.3532","0.82","147","4.08333","0.19","0.0711","0.2","0.3333","0.28","1388","38.55556","0.43","0.6715","0.47","0.5778","0.76"
"181","37","104488","17","8","Winthrop","29","535","18.44828","0.6","0.341","0.81","0.6374","0.7","349","12.03448","0.64","0.2224","0.8","0.4241","0.67","67","2.31034","0.01","0.0427","0.02","0.194","0","444","15.31034","0.33","0.283","0.49","0.3333","0.53","174","6","0.77","0.1109","0.87","0.3448","0.36","1153","39.75862","0.55","0.7349","0.81","0.5663","0.61"
"325","16","104476","10","4","William & Mary","31","569","18.35484","0.58","0.3189","0.61","0.5624","0.07","273","8.80645","0.12","0.153","0.13","0.37","0.14","91","2.93548","0.03","0.051","0.04","0.3516","0.45","714","23.03226","0.98","0.4002","0.99","0.3291","0.47","135","4.35484","0.27","0.0757","0.29","0.2667","0.04","1420","45.80645","0.93","0.796","0.97","0.5137","0.1"
"151","17","104471","15","5","Wichita St.","33","796","24.12121","0.98","0.3941","0.97","0.5729","0.12","361","10.93939","0.42","0.1787","0.34","0.4017","0.42","226","6.84848","0.45","0.1119","0.38","0.3938","0.82","460","13.93939","0.17","0.2277","0.1","0.3261","0.43","177","5.36364","0.58","0.0876","0.51","0.339","0.32","1433","43.42424","0.81","0.7094","0.7","0.538","0.27"
"292","2","104454","12","9","Western Mich.","31","456","14.70968","0.12","0.2476","0.08","0.6404","0.73","401","12.93548","0.8","0.2177","0.76","0.394","0.34","268","8.64516","0.72","0.1455","0.7","0.3507","0.44","554","17.87097","0.69","0.3008","0.64","0.3249","0.4","163","5.25806","0.55","0.0885","0.52","0.3374","0.31","1173","37.83871","0.35","0.6368","0.25","0.5494","0.39"
"136","88","104453","22","8","Western Ky.","31","679","21.90323","0.92","0.3518","0.86","0.6244","0.55","481","15.51613","0.97","0.2492","0.95","0.4075","0.49","171","5.51613","0.23","0.0886","0.18","0.4035","0.87","452","14.58065","0.23","0.2342","0.14","0.3451","0.7","147","4.74194","0.38","0.0762","0.31","0.3401","0.33","1278","41.22581","0.69","0.6622","0.39","0.5736","0.72"
"260","15","104452","21","13","Western Ill.","29","449","15.48276","0.22","0.2698","0.21","0.6192","0.51","401","13.82759","0.89","0.241","0.91","0.3666","0.12","299","10.31034","0.85","0.1797","0.88","0.3445","0.36","420","14.48276","0.21","0.2524","0.23","0.3262","0.43","93","3.2069","0.04","0.0559","0.04","0.2796","0.06","964","33.24138","0.05","0.5793","0.05","0.542","0.31"
"111","38","104450","22","11","Western Caro.","29","602","20.75862","0.86","0.3403","0.8","0.5781","0.17","330","11.37931","0.52","0.1865","0.41","0.4394","0.8","210","7.24138","0.52","0.1187","0.47","0.3571","0.49","488","16.82759","0.54","0.2759","0.42","0.3545","0.83","138","4.75862","0.39","0.078","0.33","0.4203","0.93","1229","42.37931","0.75","0.6947","0.61","0.5651","0.6"
"156","60","104448","9","4","West Virginia","32","484","15.125","0.17","0.2713","0.22","0.6364","0.69","340","10.625","0.38","0.1906","0.47","0.3794","0.21","293","9.15625","0.79","0.1642","0.81","0.3311","0.23","521","16.28125","0.46","0.292","0.57","0.3417","0.66","145","4.53125","0.32","0.0813","0.4","0.3793","0.67","1151","35.96875","0.18","0.6452","0.29","0.5712","0.68"
"154","61","104434","20","11","Weber St.","29","560","19.31034","0.7","0.348","0.84","0.6482","0.78","249","8.58621","0.1","0.1548","0.14","0.4498","0.86","175","6.03448","0.3","0.1088","0.34","0.32","0.15","464","16","0.42","0.2884","0.55","0.347","0.74","161","5.55172","0.65","0.1001","0.72","0.3292","0.25","1185","40.86207","0.66","0.7365","0.82","0.5772","0.75"
"44","74","104427","25","14","Washington St.","35","652","18.62857","0.62","0.3187","0.61","0.6242","0.55","418","11.94286","0.62","0.2043","0.63","0.4641","0.93","318","9.08571","0.78","0.1554","0.76","0.3899","0.79","533","15.22857","0.31","0.2605","0.28","0.3283","0.45","124","3.54286","0.08","0.0606","0.06","0.3871","0.74","1310","37.42857","0.31","0.6403","0.26","0.566","0.61"
"69","74","104424","17","9","Washington","32","615","19.21875","0.69","0.3106","0.55","0.6878","0.96","388","12.125","0.66","0.196","0.55","0.3995","0.4","249","7.78125","0.59","0.1258","0.52","0.3815","0.72","505","15.78125","0.38","0.2551","0.25","0.3465","0.73","223","6.96875","0.94","0.1126","0.89","0.3722","0.62","1343","41.96875","0.72","0.6783","0.5","0.6031","0.95"
"43","53","104413","21","11","Wake Forest","35","494","14.11429","0.06","0.2419","0.06","0.6923","0.97","535","15.28571","0.97","0.262","0.97","0.4729","0.96","249","7.11429","0.5","0.1219","0.5","0.3815","0.72","553","15.8","0.38","0.2708","0.38","0.3707","0.94","210","6","0.77","0.1028","0.76","0.3476","0.39","1258","35.94286","0.18","0.6161","0.15","0.6033","0.95"
"290","3","104412","17","10","Wagner","31","465","15","0.16","0.263","0.17","0.5914","0.28","382","12.32258","0.7","0.2161","0.74","0.322","0.02","254","8.19355","0.65","0.1437","0.67","0.3031","0.09","486","15.67742","0.37","0.2749","0.41","0.3354","0.57","179","5.77419","0.72","0.1012","0.73","0.2905","0.08","1132","36.51613","0.23","0.6403","0.26","0.5278","0.18"
"60","53","104407","19","10","Virginia Tech","34","568","16.70588","0.36","0.2982","0.43","0.6796","0.94","333","9.79412","0.27","0.1748","0.3","0.4505","0.86","212","6.23529","0.34","0.1113","0.37","0.3491","0.41","610","17.94118","0.7","0.3202","0.81","0.3344","0.55","182","5.35294","0.57","0.0955","0.63","0.3956","0.8","1360","40","0.58","0.7139","0.71","0.5882","0.85"
"54","53","104405","23","13","Virginia","34","539","15.85294","0.26","0.2856","0.33","0.6011","0.35","374","11","0.43","0.1982","0.57","0.385","0.27","359","10.55882","0.87","0.1902","0.92","0.3343","0.27","477","14.02941","0.18","0.2528","0.23","0.3459","0.72","138","4.05882","0.18","0.0731","0.23","0.3986","0.83","1154","33.94118","0.09","0.6116","0.13","0.5667","0.62"
"41","29","104403","18","10","Villanova","34","560","16.47059","0.32","0.2879","0.36","0.6036","0.37","261","7.67647","0.04","0.1342","0.04","0.3908","0.31","191","5.61765","0.25","0.0982","0.25","0.3717","0.63","724","21.29412","0.97","0.3722","0.97","0.3287","0.46","206","6.05882","0.79","0.1059","0.81","0.3689","0.59","1493","43.91176","0.83","0.7676","0.93","0.5429","0.33"
"102","18","104401","28","18","Vermont","33","623","18.87879","0.65","0.3351","0.74","0.6276","0.59","273","8.27273","0.08","0.1469","0.11","0.3846","0.26","146","4.42424","0.11","0.0785","0.13","0.3767","0.69","621","18.81818","0.81","0.3341","0.9","0.3172","0.27","196","5.93939","0.76","0.1054","0.8","0.3827","0.71","1440","43.63636","0.82","0.7746","0.94","0.5549","0.45"
"202","89","104399","9","4","Vanderbilt","32","377","11.78125","0.01","0.2009","0.01","0.6419","0.74","446","13.9375","0.91","0.2376","0.89","0.4126","0.55","316","9.875","0.83","0.1684","0.83","0.3576","0.5","640","20","0.91","0.341","0.92","0.2859","0.05","97","3.03125","0.03","0.0517","0.02","0.268","0.04","1115","34.84375","0.12","0.594","0.09","0.4982","0.04"
"302","54","104398","7","3","Valparaiso","31","437","14.09677","0.06","0.2313","0.03","0.6087","0.42","340","10.96774","0.42","0.18","0.35","0.3912","0.31","424","13.67742","0.99","0.2245","0.97","0.3373","0.29","568","18.32258","0.76","0.3007","0.64","0.3134","0.23","119","3.83871","0.12","0.063","0.1","0.3445","0.36","1125","36.29032","0.21","0.5956","0.09","0.5298","0.2"
"358","38","104394","4","1","VMI","29","571","19.68966","0.77","0.3289","0.7","0.5657","0.08","325","11.2069","0.48","0.1872","0.42","0.4","0.4","261","9","0.76","0.1503","0.74","0.3372","0.29","427","14.72414","0.25","0.246","0.2","0.3091","0.19","152","5.24138","0.54","0.0876","0.51","0.2632","0.04","1150","39.65517","0.54","0.6624","0.39","0.5052","0.06"
"71","4","104393","24","11","VCU","38","683","17.97368","0.54","0.3317","0.71","0.6032","0.37","343","9.02632","0.15","0.1666","0.23","0.4052","0.46","122","3.21053","0.04","0.0593","0.05","0.2705","0.02","685","18.02632","0.71","0.3327","0.89","0.3474","0.74","225","5.92105","0.75","0.1093","0.85","0.3733","0.63","1594","41.94737","0.72","0.7742","0.94","0.5615","0.55"
"173","36","104391","15","11","Utah Valley","28","479","17.10714","0.4","0.2986","0.44","0.6075","0.39","450","16.07143","0.98","0.2805","0.98","0.4289","0.71","225","8.03571","0.63","0.1403","0.64","0.3378","0.3","337","12.03571","0.05","0.2101","0.04","0.2789","0.03","113","4.03571","0.17","0.0704","0.19","0.3186","0.19","929","33.17857","0.05","0.5792","0.05","0.5231","0.16"
"38","87","104390","28","14","Utah St.","33","703","21.30303","0.91","0.3673","0.92","0.6714","0.88","353","10.69697","0.39","0.1844","0.39","0.4533","0.87","214","6.48485","0.39","0.1118","0.38","0.4112","0.9","483","14.63636","0.24","0.2524","0.23","0.354","0.83","161","4.87879","0.45","0.0841","0.45","0.236","0.01","1347","40.81818","0.66","0.7038","0.67","0.5831","0.81"
"48","74","104389","22","9","Utah","37","727","19.64865","0.76","0.3149","0.59","0.6616","0.84","412","11.13514","0.47","0.1784","0.33","0.432","0.73","238","6.43243","0.38","0.1031","0.3","0.3277","0.2","723","19.54054","0.88","0.3131","0.76","0.379","0.96","208","5.62162","0.67","0.0901","0.55","0.3413","0.34","1659","44.83784","0.89","0.7185","0.73","0.6019","0.94"
"262","17","104382","11","5","UTSA","31","461","14.87097","0.14","0.2346","0.04","0.5857","0.23","418","13.48387","0.86","0.2127","0.71","0.4043","0.44","212","6.83871","0.45","0.1079","0.33","0.3396","0.33","613","19.77419","0.9","0.312","0.75","0.3263","0.43","261","8.41935","1","0.1328","0.98","0.3525","0.44","1335","43.06452","0.8","0.6794","0.51","0.5303","0.2"
"331","36","104381","6","2","UTRGV","29","507","17.48276","0.46","0.3063","0.5","0.5562","0.04","427","14.72414","0.95","0.258","0.96","0.4356","0.76","238","8.2069","0.66","0.1438","0.67","0.2899","0.05","347","11.96552","0.04","0.2097","0.04","0.2392","0","136","4.68966","0.36","0.0822","0.41","0.4191","0.92","990","34.13793","0.09","0.5982","0.1","0.497","0.03"
"184","88","104380","18","7","UTEP","31","581","18.74194","0.63","0.3414","0.81","0.6334","0.65","318","10.25806","0.32","0.1868","0.41","0.3899","0.3","273","8.80645","0.74","0.1604","0.79","0.2894","0.05","404","13.03226","0.1","0.2374","0.15","0.3069","0.17","125","4.03226","0.17","0.0734","0.23","0.328","0.24","1111","35.83871","0.17","0.6528","0.34","0.554","0.44"
"204","15","104379","21","14","UT Martin","28","516","18.42857","0.59","0.2927","0.39","0.624","0.55","347","12.39286","0.71","0.1968","0.56","0.3602","0.09","229","8.17857","0.65","0.1299","0.55","0.345","0.37","541","19.32143","0.86","0.3069","0.71","0.3752","0.95","130","4.64286","0.35","0.0737","0.24","0.3077","0.13","1187","42.39286","0.76","0.6733","0.48","0.5783","0.77"
"129","36","104378","20","13","UT Arlington","32","617","19.28125","0.7","0.3355","0.74","0.6062","0.38","301","9.40625","0.2","0.1637","0.2","0.3987","0.39","133","4.15625","0.09","0.0723","0.1","0.3383","0.31","543","16.96875","0.57","0.2953","0.59","0.337","0.59","244","7.625","0.98","0.1327","0.98","0.3934","0.79","1405","43.90625","0.83","0.764","0.91","0.5641","0.59"
