"NET Ranking","conferenceId","teamId","Wins","confWins","teamMarket","GP*","ATR2 FGA","ATR2 FGA/G","ATR2 FGA/G %ile","ATR2 FGA%","ATR2 FGA% %ile","ATR2 FG%","ATR2 FG% %ile","PAINT2 FGA","PAINT2 FGA/G","PAINT2 FGA/G %ile","PAINT2 FGA%","PAINT2 FGA% %ile","PAINT2 FG%","PAINT2 FG% %ile","MID2 FGA","MID2 FGA/G","MID2 FGA/G %ile","MID2 FGA%","MID2 FGA% %ile","MID2 FG%","MID2 FG% %ile","ATB3 FGA","ATB3 FGA/G","ATB3 FGA/G %ile","ATB3 FGA%","ATB3 FGA% %ile","ATB3 FG%","ATB3 FG% %ile","C3 FGA","C3 FGA/G","C3 FGA/G %ile","C3 FGA%","C3 FGA% %ile","C3 FG%","C3 FG% %ile","Rim + 3s FGA","Rim + 3s FGA/G","Rim + 3s FGA/G %ile","Rim + 3s FGA%","Rim + 3s FGA% %ile","Rim + 3s eFG%","Rim + 3s eFG% %ile"
"246","59","104515","18","12","Youngstown St.","31","564","18.19355","0.7","0.3197","0.76","0.5887","0.19","242","7.80645","0.05","0.1372","0.06","0.438","0.8","272","8.77419","0.64","0.1542","0.65","0.3971","0.89","502","16.19355","0.46","0.2846","0.47","0.3446","0.74","183","5.90323","0.75","0.1037","0.77","0.3333","0.36","1250","40.32258","0.68","0.7086","0.75","0.5464","0.38"
"149","86","104510","16","10","Yale","27","537","19.88889","0.89","0.3397","0.89","0.6052","0.34","213","7.88889","0.05","0.1347","0.05","0.3568","0.12","260","9.62963","0.75","0.1645","0.74","0.4","0.9","460","17.03704","0.59","0.291","0.55","0.3326","0.54","111","4.11111","0.23","0.0702","0.2","0.2973","0.1","1108","41.03704","0.72","0.7008","0.7","0.5451","0.37"
"37","29","104509","23","8","Xavier","36","539","14.97222","0.23","0.2552","0.19","0.6419","0.68","528","14.66667","0.94","0.25","0.94","0.4867","0.97","294","8.16667","0.56","0.1392","0.54","0.3673","0.71","570","15.83333","0.38","0.2699","0.35","0.3228","0.4","181","5.02778","0.5","0.0857","0.47","0.3204","0.23","1290","35.83333","0.24","0.6108","0.17","0.5496","0.42"
"58","87","104508","25","14","Wyoming","33","343","10.39394","0.01","0.1912","0.01","0.6735","0.89","561","17","1","0.3127","1","0.5134","0.99","140","4.24242","0.06","0.078","0.08","0.35","0.52","596","18.06061","0.72","0.3322","0.82","0.3356","0.59","154","4.66667","0.39","0.0858","0.47","0.3052","0.13","1093","33.12121","0.1","0.6093","0.15","0.5503","0.43"
"186","59","104506","22","16","Wright St.","35","741","21.17143","0.96","0.358","0.95","0.6302","0.6","391","11.17143","0.57","0.1889","0.5","0.4143","0.61","262","7.48571","0.46","0.1266","0.42","0.3931","0.87","553","15.8","0.38","0.2671","0.33","0.3273","0.45","122","3.48571","0.11","0.0589","0.09","0.3689","0.66","1417","40.48571","0.68","0.6845","0.59","0.5688","0.68"
"108","38","104503","19","10","Wofford","30","538","17.93333","0.66","0.3311","0.85","0.6617","0.83","193","6.43333","0","0.1188","0.01","0.3782","0.26","96","3.2","0.02","0.0591","0.03","0.3125","0.2","619","20.63333","0.92","0.3809","0.97","0.3441","0.73","179","5.96667","0.77","0.1102","0.88","0.3631","0.59","1336","44.53333","0.94","0.8222","1","0.5786","0.79"
"25","73","104500","25","15","Wisconsin","33","481","14.57576","0.19","0.2491","0.15","0.6528","0.77","431","13.06061","0.86","0.2232","0.82","0.4176","0.64","323","9.78788","0.78","0.1673","0.77","0.3344","0.37","590","17.87879","0.69","0.3055","0.65","0.3102","0.25","105","3.18182","0.06","0.0544","0.05","0.2857","0.06","1177","35.66667","0.23","0.6095","0.15","0.5382","0.31"
"147","37","104488","23","14","Winthrop","29","471","16.24138","0.41","0.306","0.61","0.6837","0.94","284","9.7931","0.28","0.1845","0.46","0.4507","0.86","128","4.41379","0.08","0.0832","0.09","0.4141","0.95","450","15.51724","0.33","0.2924","0.56","0.3844","0.98","205","7.06897","0.96","0.1332","0.98","0.3415","0.43","1127","38.86207","0.56","0.7323","0.85","0.6091","0.97"
"339","16","104476","5","4","William & Mary","31","545","17.58065","0.6","0.315","0.72","0.556","0.04","357","11.51613","0.65","0.2064","0.68","0.3782","0.26","152","4.90323","0.1","0.0879","0.1","0.2763","0.03","499","16.09677","0.44","0.2884","0.53","0.3006","0.15","176","5.67742","0.71","0.1017","0.75","0.3409","0.41","1221","39.3871","0.6","0.7058","0.73","0.5061","0.05"
"87","17","104471","15","6","Wichita St.","28","559","19.96429","0.9","0.3421","0.9","0.542","0.02","207","7.39286","0.02","0.1267","0.02","0.3768","0.25","191","6.82143","0.34","0.1169","0.3","0.3455","0.45","534","19.07143","0.8","0.3268","0.79","0.3071","0.22","142","5.07143","0.52","0.0869","0.5","0.331","0.32","1236","44.14286","0.91","0.7564","0.92","0.5012","0.03"
"329","2","104454","8","4","Western Mich.","28","367","13.10714","0.07","0.233","0.07","0.6049","0.34","329","11.75","0.69","0.2089","0.7","0.4134","0.6","159","5.67857","0.17","0.101","0.18","0.3774","0.78","574","20.5","0.92","0.3644","0.94","0.3345","0.57","146","5.21429","0.57","0.0927","0.6","0.3219","0.24","1087","38.82143","0.55","0.6902","0.63","0.534","0.23"
"122","88","104453","19","11","Western Ky.","30","504","16.8","0.51","0.2902","0.47","0.6766","0.91","314","10.46667","0.42","0.1808","0.43","0.4076","0.53","288","9.6","0.74","0.1658","0.75","0.3681","0.71","504","16.8","0.55","0.2902","0.54","0.3532","0.82","127","4.23333","0.25","0.0731","0.25","0.3858","0.78","1135","37.83333","0.44","0.6534","0.38","0.6004","0.94"
"239","52","104452","16","7","Western Ill.","30","503","16.76667","0.5","0.2625","0.23","0.6024","0.31","412","13.73333","0.91","0.215","0.76","0.4709","0.94","211","7.03333","0.38","0.1101","0.25","0.3033","0.13","668","22.26667","0.97","0.3486","0.9","0.3278","0.46","121","4.03333","0.19","0.0632","0.13","0.3306","0.32","1293","43.1","0.88","0.6748","0.54","0.536","0.27"
"287","38","104450","9","5","Western Caro.","28","424","15.14286","0.25","0.248","0.14","0.6297","0.59","293","10.46429","0.42","0.1713","0.32","0.3584","0.13","119","4.25","0.06","0.0696","0.05","0.2857","0.06","620","22.14286","0.97","0.3626","0.94","0.2968","0.12","252","9","1","0.1474","0.99","0.3294","0.31","1298","46.35714","0.97","0.7591","0.94","0.5143","0.1"
"73","60","104448","16","4","West Virginia","33","490","14.84848","0.21","0.2599","0.21","0.5939","0.23","338","10.24242","0.35","0.1793","0.4","0.3462","0.07","422","12.78788","0.94","0.2239","0.95","0.3863","0.83","459","13.90909","0.18","0.2435","0.17","0.3224","0.39","176","5.33333","0.61","0.0934","0.62","0.3409","0.41","1125","34.09091","0.13","0.5968","0.11","0.536","0.27"
"166","61","104434","21","13","Weber St.","31","538","17.35484","0.57","0.3128","0.69","0.6914","0.96","324","10.45161","0.42","0.1884","0.49","0.4105","0.57","196","6.32258","0.25","0.114","0.27","0.3673","0.71","501","16.16129","0.46","0.2913","0.55","0.3493","0.8","160","5.16129","0.56","0.093","0.61","0.3375","0.38","1200","38.70968","0.54","0.6977","0.68","0.5962","0.92"
"54","74","104427","22","11","Washington St.","37","598","16.16216","0.39","0.2671","0.26","0.592","0.21","380","10.27027","0.36","0.1697","0.3","0.3474","0.08","272","7.35135","0.43","0.1215","0.37","0.3346","0.37","811","21.91892","0.96","0.3622","0.94","0.328","0.46","177","4.78378","0.44","0.0791","0.36","0.3672","0.64","1587","42.89189","0.87","0.7088","0.75","0.5359","0.27"
"113","74","104424","17","11","Washington","32","534","16.6875","0.48","0.2768","0.35","0.6049","0.34","492","15.375","0.97","0.2551","0.95","0.3841","0.3","269","8.40625","0.6","0.1395","0.54","0.3197","0.25","494","15.4375","0.32","0.2561","0.25","0.2955","0.11","140","4.375","0.31","0.0726","0.24","0.3714","0.67","1168","36.5","0.29","0.6055","0.13","0.5308","0.22"
"42","53","104413","25","13","Wake Forest","35","596","17.02857","0.55","0.2942","0.51","0.7164","0.99","391","11.17143","0.57","0.193","0.54","0.4604","0.92","179","5.11429","0.12","0.0884","0.11","0.419","0.96","601","17.17143","0.61","0.2966","0.59","0.3311","0.51","259","7.4","0.97","0.1278","0.96","0.3745","0.69","1456","41.6","0.77","0.7187","0.78","0.5982","0.93"
"135","3","104412","21","15","Wagner","26","527","20.26923","0.92","0.3402","0.89","0.649","0.74","355","13.65385","0.9","0.2292","0.85","0.4338","0.77","202","7.76923","0.51","0.1304","0.45","0.3861","0.83","336","12.92308","0.09","0.2169","0.06","0.2679","0.02","128","4.92308","0.47","0.0826","0.42","0.3359","0.37","992","38.15385","0.47","0.6404","0.31","0.5459","0.37"
"22","53","104407","23","11","Virginia Tech","36","585","16.25","0.41","0.2953","0.52","0.6359","0.64","347","9.63889","0.26","0.1752","0.37","0.4323","0.76","235","6.52778","0.27","0.1186","0.33","0.3915","0.86","627","17.41667","0.64","0.3165","0.73","0.3939","0.99","187","5.19444","0.57","0.0944","0.63","0.385","0.76","1399","38.86111","0.56","0.7062","0.74","0.6079","0.97"
"68","53","104405","21","12","Virginia","35","569","16.25714","0.41","0.3126","0.69","0.6081","0.37","327","9.34286","0.22","0.1797","0.41","0.4067","0.52","379","10.82857","0.86","0.2082","0.92","0.4274","0.98","382","10.91429","0.01","0.2099","0.04","0.3141","0.3","162","4.62857","0.38","0.089","0.54","0.3457","0.47","1114","31.82857","0.06","0.6121","0.18","0.5476","0.4"
"6","29","104403","30","17","Villanova","38","630","16.57895","0.47","0.2954","0.52","0.6127","0.42","289","7.60526","0.03","0.1355","0.05","0.3702","0.2","226","5.94737","0.2","0.106","0.21","0.3274","0.31","802","21.10526","0.94","0.376","0.96","0.3579","0.87","185","4.86842","0.46","0.0867","0.49","0.3676","0.64","1618","42.57895","0.85","0.7586","0.94","0.5677","0.66"
"56","18","104401","28","20","Vermont","33","603","18.27273","0.71","0.3283","0.83","0.7148","0.99","275","8.33333","0.09","0.1497","0.1","0.4509","0.86","167","5.06061","0.12","0.0909","0.12","0.3473","0.49","596","18.06061","0.72","0.3244","0.78","0.3792","0.97","196","5.93939","0.77","0.1067","0.81","0.3316","0.33","1395","42.27273","0.83","0.7594","0.94","0.6219","0.99"
"62","89","104399","19","7","Vanderbilt","36","478","13.27778","0.08","0.2389","0.09","0.6506","0.76","418","11.61111","0.67","0.2089","0.7","0.3995","0.43","190","5.27778","0.14","0.095","0.16","0.3211","0.26","745","20.69444","0.92","0.3723","0.96","0.3383","0.63","170","4.72222","0.41","0.085","0.46","0.3412","0.42","1393","38.69444","0.53","0.6962","0.67","0.5571","0.51"
"207","54","104398","14","6","Valparaiso","30","529","17.63333","0.61","0.3156","0.73","0.6295","0.58","278","9.26667","0.2","0.1659","0.27","0.4424","0.82","239","7.96667","0.54","0.1426","0.56","0.3724","0.74","495","16.5","0.52","0.2953","0.58","0.3253","0.42","134","4.46667","0.34","0.08","0.38","0.3433","0.45","1159","38.63333","0.52","0.6915","0.64","0.5552","0.49"
"175","38","104394","16","9","VMI","28","438","15.64286","0.3","0.2666","0.25","0.6393","0.67","190","6.78571","0.01","0.1156","0","0.4053","0.5","117","4.17857","0.06","0.0712","0.06","0.4188","0.96","725","25.89286","1","0.4413","1","0.3724","0.95","173","6.17857","0.82","0.1053","0.79","0.3873","0.79","1336","47.71429","0.99","0.8131","0.99","0.5879","0.87"
"57","4","104393","22","14","VCU","32","686","21.4375","0.96","0.3981","0.99","0.6181","0.47","337","10.53125","0.44","0.1956","0.59","0.4036","0.48","179","5.59375","0.16","0.1039","0.19","0.3017","0.12","426","13.3125","0.13","0.2472","0.2","0.3427","0.7","95","2.96875","0.04","0.0551","0.06","0.3684","0.65","1207","37.71875","0.42","0.7005","0.7","0.5762","0.77"
"116","36","104391","20","10","Utah Valley","30","487","16.23333","0.41","0.2988","0.56","0.6181","0.47","420","14","0.92","0.2577","0.96","0.4238","0.68","235","7.83333","0.51","0.1442","0.58","0.3234","0.28","367","12.23333","0.05","0.2252","0.08","0.3651","0.92","121","4.03333","0.19","0.0742","0.27","0.3802","0.73","975","32.5","0.08","0.5982","0.11","0.5856","0.86"
"65","87","104390","18","8","Utah St.","33","611","18.51515","0.75","0.328","0.83","0.6825","0.93","308","9.33333","0.22","0.1653","0.26","0.4318","0.76","195","5.90909","0.19","0.1047","0.2","0.3897","0.85","567","17.18182","0.61","0.3043","0.63","0.3192","0.35","181","5.48485","0.67","0.0972","0.68","0.4033","0.89","1360","41.21212","0.73","0.73","0.84","0.5879","0.87"
"133","74","104389","11","4","Utah","31","514","16.58065","0.47","0.2857","0.43","0.5778","0.14","291","9.3871","0.23","0.1618","0.22","0.3814","0.28","286","9.22581","0.7","0.159","0.69","0.3776","0.78","547","17.64516","0.66","0.3041","0.63","0.3291","0.48","159","5.12903","0.54","0.0884","0.53","0.3585","0.56","1222","39.41935","0.61","0.6793","0.56","0.534","0.23"
