"NET Ranking","conferenceId","teamId","Wins","confWins","teamMarket","GP*","ATR2 FGA","ATR2 FGA/G","ATR2 FGA/G %ile","ATR2 FGA%","ATR2 FGA% %ile","ATR2 FG%","ATR2 FG% %ile","PAINT2 FGA","PAINT2 FGA/G","PAINT2 FGA/G %ile","PAINT2 FGA%","PAINT2 FGA% %ile","PAINT2 FG%","PAINT2 FG% %ile","MID2 FGA","MID2 FGA/G","MID2 FGA/G %ile","MID2 FGA%","MID2 FGA% %ile","MID2 FG%","MID2 FG% %ile","ATB3 FGA","ATB3 FGA/G","ATB3 FGA/G %ile","ATB3 FGA%","ATB3 FGA% %ile","ATB3 FG%","ATB3 FG% %ile","C3 FGA","C3 FGA/G","C3 FGA/G %ile","C3 FGA%","C3 FGA% %ile","C3 FG%","C3 FG% %ile","Rim + 3s FGA","Rim + 3s FGA/G","Rim + 3s FGA/G %ile","Rim + 3s FGA%","Rim + 3s FGA% %ile","Rim + 3s eFG%","Rim + 3s eFG% %ile"
"","59","104515","18","11","Youngstown St.","29","480","16.55172","0.51","0.2694","0.32","0.6167","0.41","353","12.17241","0.71","0.1981","0.62","0.4193","0.7","276","9.51724","0.65","0.1549","0.59","0.3261","0.36","493","17","0.6","0.2767","0.39","0.288","0.09","180","6.2069","0.83","0.101","0.77","0.3667","0.62","1153","39.75862","0.64","0.647","0.4","0.5273","0.2"
"","86","104510","9","3","Yale","14","230","16.42857","0.49","0.2879","0.46","0.6043","0.28","141","10.07143","0.4","0.1765","0.39","0.461","0.92","77","5.5","0.14","0.0964","0.13","0.3377","0.45","280","20","0.89","0.3504","0.91","0.3393","0.68","71","5.07143","0.56","0.0889","0.59","0.338","0.4","581","41.5","0.8","0.7272","0.84","0.5465","0.41"
"","29","104509","17","8","Xavier","28","501","17.89286","0.7","0.3","0.62","0.6946","0.94","372","13.28571","0.84","0.2228","0.81","0.3656","0.22","215","7.67857","0.41","0.1287","0.38","0.3209","0.32","439","15.67857","0.39","0.2629","0.31","0.3052","0.24","143","5.10714","0.57","0.0856","0.52","0.3077","0.24","1083","38.67857","0.53","0.6485","0.41","0.5679","0.69"
"","87","104508","5","2","Wyoming","13","165","12.69231","0.08","0.2371","0.11","0.6242","0.5","126","9.69231","0.33","0.181","0.46","0.4206","0.71","93","7.15385","0.36","0.1336","0.41","0.2903","0.1","237","18.23077","0.75","0.3405","0.88","0.3629","0.92","74","5.69231","0.75","0.1063","0.83","0.2838","0.13","477","36.69231","0.35","0.6853","0.59","0.5524","0.48"
"","59","104506","8","5","Wright St.","12","291","24.25","0.99","0.3726","0.94","0.5395","0.03","167","13.91667","0.92","0.2138","0.74","0.3772","0.29","80","6.66667","0.3","0.1024","0.18","0.325","0.35","208","17.33333","0.65","0.2663","0.32","0.3077","0.27","35","2.91667","0.04","0.0448","0.01","0.3714","0.66","534","44.5","0.96","0.6837","0.58","0.5103","0.09"
"","38","104503","18","8","Wofford","30","501","16.7","0.54","0.2944","0.53","0.6786","0.89","207","6.9","0.01","0.1216","0.01","0.4493","0.87","188","6.26667","0.25","0.1105","0.25","0.3511","0.6","638","21.26667","0.94","0.3749","0.96","0.337","0.65","166","5.53333","0.69","0.0975","0.72","0.3614","0.58","1307","43.56667","0.92","0.7679","0.96","0.5769","0.79"
"","73","104500","21","14","Wisconsin","31","326","10.51613","0.01","0.1898","0.02","0.6779","0.89","327","10.54839","0.49","0.1903","0.54","0.3853","0.35","302","9.74194","0.68","0.1758","0.74","0.3775","0.79","660","21.29032","0.94","0.3842","0.98","0.3576","0.86","102","3.29032","0.08","0.0594","0.1","0.3137","0.26","1089","35.12903","0.23","0.6339","0.31","0.5735","0.75"
"","37","104488","7","5","Winthrop","10","203","20.3","0.9","0.3367","0.86","0.6946","0.94","104","10.4","0.45","0.1725","0.34","0.4038","0.54","51","5.1","0.11","0.0846","0.1","0.2941","0.13","193","19.3","0.83","0.3201","0.78","0.3057","0.24","52","5.2","0.62","0.0862","0.54","0.2885","0.14","448","44.8","0.96","0.743","0.91","0.5625","0.62"
"","16","104476","19","11","William & Mary","28","534","19.07143","0.82","0.3492","0.9","0.6199","0.47","269","9.60714","0.31","0.1759","0.38","0.4424","0.84","126","4.5","0.07","0.0824","0.09","0.3968","0.92","439","15.67857","0.39","0.2871","0.49","0.3326","0.58","161","5.75","0.77","0.1053","0.82","0.4224","0.93","1134","40.5","0.71","0.7417","0.9","0.575","0.77"
"","17","104471","23","11","Wichita St.","31","570","18.3871","0.77","0.3014","0.63","0.607","0.32","241","7.77419","0.06","0.1274","0.02","0.3154","0.03","336","10.83871","0.81","0.1777","0.76","0.3065","0.21","592","19.09677","0.81","0.3131","0.71","0.3091","0.28","151","4.87097","0.51","0.0799","0.42","0.404","0.87","1314","42.3871","0.85","0.6949","0.68","0.5419","0.38"
"","2","104454","13","6","Western Mich.","29","404","13.93103","0.14","0.2482","0.17","0.6485","0.72","326","11.24138","0.58","0.2002","0.63","0.3712","0.25","286","9.86207","0.7","0.1757","0.74","0.3357","0.42","475","16.37931","0.49","0.2918","0.55","0.3263","0.51","137","4.72414","0.45","0.0842","0.5","0.3577","0.54","1016","35.03448","0.22","0.6241","0.26","0.5591","0.57"
"","88","104453","14","10","Western Ky.","18","327","18.16667","0.74","0.3234","0.8","0.6728","0.87","174","9.66667","0.32","0.1721","0.33","0.4195","0.7","131","7.27778","0.37","0.1296","0.39","0.313","0.26","290","16.11111","0.45","0.2868","0.49","0.3034","0.22","89","4.94444","0.54","0.088","0.57","0.3708","0.65","706","39.22222","0.58","0.6983","0.7","0.5687","0.7"
"","52","104452","5","2","Western Ill.","24","388","16.16667","0.42","0.2563","0.2","0.6057","0.3","308","12.83333","0.79","0.2034","0.66","0.3506","0.14","252","10.5","0.76","0.1664","0.66","0.3214","0.32","441","18.375","0.77","0.2913","0.54","0.3583","0.88","123","5.125","0.58","0.0812","0.44","0.3821","0.75","954","39.75","0.63","0.6301","0.29","0.5718","0.73"
"","38","104450","19","10","Western Caro.","28","509","18.17857","0.74","0.3195","0.75","0.6385","0.63","292","10.42857","0.46","0.1833","0.48","0.4247","0.74","71","2.53571","0.01","0.0446","0.01","0.3099","0.24","477","17.03571","0.6","0.2994","0.64","0.3648","0.93","244","8.71429","1","0.1532","1","0.3689","0.64","1230","43.92857","0.94","0.7721","0.96","0.5862","0.86"
"","60","104448","20","9","West Virginia","30","526","17.53333","0.66","0.2957","0.56","0.6464","0.69","344","11.46667","0.63","0.1934","0.57","0.3605","0.18","387","12.9","0.93","0.2175","0.92","0.3643","0.71","386","12.86667","0.1","0.217","0.05","0.2902","0.1","135","4.5","0.38","0.0759","0.34","0.2593","0.06","1048","34.93333","0.21","0.5891","0.12","0.5348","0.29"
"","61","104434","12","8","Weber St.","25","369","14.76","0.22","0.2602","0.24","0.7073","0.97","286","11.44","0.62","0.2017","0.65","0.4266","0.76","269","10.76","0.8","0.1897","0.82","0.3569","0.65","387","15.48","0.36","0.2729","0.37","0.3101","0.3","104","4.16","0.27","0.0733","0.27","0.25","0.04","863","34.52","0.19","0.6086","0.19","0.5562","0.52"
"","74","104427","16","6","Washington St.","32","586","18.3125","0.76","0.3001","0.62","0.57","0.09","294","9.1875","0.22","0.1505","0.15","0.3639","0.21","305","9.53125","0.65","0.1562","0.6","0.3213","0.32","619","19.34375","0.83","0.3169","0.75","0.315","0.37","148","4.625","0.43","0.0758","0.34","0.277","0.1","1354","42.3125","0.84","0.6933","0.67","0.5092","0.09"
"","74","104424","14","5","Washington","31","363","11.70968","0.04","0.2123","0.05","0.6915","0.93","418","13.48387","0.86","0.2444","0.93","0.4833","0.98","267","8.6129","0.55","0.1561","0.6","0.3296","0.38","535","17.25806","0.63","0.3129","0.71","0.3121","0.33","127","4.09677","0.25","0.0743","0.29","0.3622","0.59","1025","33.06452","0.11","0.5994","0.16","0.5566","0.53"
"","53","104413","12","6","Wake Forest","29","511","17.62069","0.67","0.3114","0.69","0.6145","0.38","242","8.34483","0.1","0.1475","0.11","0.2893","0.01","353","12.17241","0.89","0.2151","0.91","0.4023","0.95","349","12.03448","0.04","0.2127","0.04","0.341","0.7","184","6.34483","0.86","0.1121","0.88","0.3478","0.45","1046","36.06897","0.31","0.6374","0.33","0.5641","0.64"
"","3","104412","8","5","Wagner","28","498","17.78571","0.69","0.3026","0.63","0.5863","0.16","284","10.14286","0.41","0.1725","0.34","0.3486","0.13","255","9.10714","0.62","0.1549","0.59","0.3725","0.76","468","16.71429","0.53","0.2843","0.46","0.2949","0.15","141","5.03571","0.55","0.0857","0.52","0.3404","0.41","1107","39.53571","0.61","0.6725","0.53","0.5158","0.12"
"","53","104407","16","7","Virginia Tech","32","400","12.5","0.07","0.2131","0.05","0.635","0.59","265","8.28125","0.09","0.1412","0.08","0.4113","0.64","316","9.875","0.7","0.1684","0.67","0.3449","0.53","671","20.96875","0.92","0.3575","0.94","0.3308","0.55","225","7.03125","0.95","0.1199","0.94","0.4133","0.91","1296","40.5","0.71","0.6905","0.64","0.5606","0.59"
"","53","104405","23","15","Virginia","30","366","12.2","0.05","0.2416","0.14","0.6475","0.7","289","9.63333","0.32","0.1908","0.55","0.4118","0.64","301","10.03333","0.73","0.1987","0.86","0.3322","0.4","443","14.76667","0.26","0.2924","0.56","0.2844","0.07","116","3.86667","0.19","0.0766","0.35","0.3793","0.72","925","30.83333","0.03","0.6106","0.21","0.5319","0.25"
"","29","104403","23","12","Villanova","30","488","16.26667","0.45","0.2797","0.4","0.6475","0.7","209","6.96667","0.01","0.1198","0.01","0.4019","0.52","227","7.56667","0.4","0.1301","0.4","0.3216","0.33","660","22","0.96","0.3782","0.97","0.3667","0.94","161","5.36667","0.66","0.0923","0.65","0.3665","0.62","1309","43.63333","0.92","0.7501","0.92","0.5863","0.86"
"","18","104401","26","16","Vermont","31","521","16.80645","0.56","0.2986","0.6","0.6622","0.8","275","8.87097","0.17","0.1576","0.21","0.4182","0.69","190","6.12903","0.23","0.1089","0.23","0.3526","0.61","537","17.32258","0.64","0.3077","0.69","0.3017","0.2","222","7.16129","0.96","0.1272","0.97","0.4144","0.91","1280","41.29032","0.78","0.7335","0.86","0.5672","0.69"
"","89","104399","11","3","Vanderbilt","31","572","18.45161","0.78","0.3328","0.85","0.6136","0.37","274","8.83871","0.17","0.1594","0.23","0.3613","0.19","117","3.77419","0.05","0.0681","0.05","0.2906","0.1","571","18.41935","0.77","0.3322","0.84","0.345","0.74","185","5.96774","0.8","0.1076","0.85","0.3243","0.33","1328","42.83871","0.88","0.7725","0.96","0.5546","0.5"
"","54","104398","18","9","Valparaiso","26","458","17.61538","0.67","0.298","0.59","0.6376","0.61","233","8.96154","0.19","0.1516","0.16","0.4292","0.77","244","9.38462","0.63","0.1588","0.61","0.3279","0.37","516","19.84615","0.87","0.3357","0.86","0.3508","0.81","86","3.30769","0.08","0.056","0.06","0.3605","0.56","1060","40.76923","0.73","0.6897","0.63","0.5755","0.78"
"","38","104394","9","3","VMI","28","463","16.53571","0.5","0.2722","0.34","0.6177","0.44","203","7.25","0.02","0.1193","0.01","0.3251","0.06","169","6.03571","0.21","0.0994","0.15","0.3018","0.18","661","23.60714","1","0.3886","0.98","0.3616","0.91","203","7.25","0.96","0.1193","0.94","0.3153","0.27","1329","47.46429","0.99","0.7813","0.98","0.5572","0.53"
"","4","104393","17","8","VCU","27","591","21.88889","0.95","0.376","0.94","0.5973","0.23","251","9.2963","0.24","0.1597","0.23","0.3426","0.11","133","4.92593","0.09","0.0846","0.1","0.2932","0.12","482","17.85185","0.72","0.3066","0.68","0.3485","0.79","115","4.25926","0.3","0.0732","0.26","0.3565","0.53","1188","44","0.94","0.7557","0.94","0.561","0.6"
